2022-11-26 14:50:47.562 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lzp.springboot03.Springboot03ApplicationTests], using SpringBootContextLoader
2022-11-26 14:50:47.569 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.lzp.springboot03.Springboot03ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-11-26 14:50:47.570 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.lzp.springboot03.Springboot03ApplicationTests]: Springboot03ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-11-26 14:50:47.655 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.lzp.Springboot03Application for test class com.lzp.springboot03.Springboot03ApplicationTests
2022-11-26 14:50:47.727 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-11-26 14:50:47.742 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15f47664, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@471a9022, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@dc9876b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f666ebb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@19976a65, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a1f72f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4b2c5e02, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@57a3e26a, org.springframework.test.context.event.EventPublishingTestExecutionListener@75c56eb9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4bc222e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2dc9b0f5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6531a794, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3b5fad2d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e17553a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3eb91815]
2022-11-26 14:50:48.035 [main] INFO  com.lzp.springboot03.Springboot03ApplicationTests - Starting Springboot03ApplicationTests using Java 1.8.0_201 on Lzping with PID 53824 (started by Lzping in D:\Idea_workspace\springboot_all\springboot03)
2022-11-26 14:50:48.036 [main] INFO  com.lzp.springboot03.Springboot03ApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-11-26 14:50:48.799 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-26 14:50:49.082 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-26 14:50:49.714 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
